log_stem,log_relpath,model,final_val_accuracy,max_val_accuracy,best_epoch,epochs_trained,final_val_loss,params,memory_mb,training_time_s,early_stopping,lr_reductions,no_thrust_precision,no_thrust_recall,no_thrust_f1,chemical_precision,chemical_recall,chemical_f1,electric_precision,electric_recall,electric_f1,impulsive_precision,impulsive_recall,impulsive_f1,macro_avg_precision,macro_avg_recall,macro_avg_f1,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1,t_no_thrust_precision,t_no_thrust_recall,t_no_thrust_f1,t_chemical_precision,t_chemical_recall,t_chemical_f1,t_electric_precision,t_electric_recall,t_electric_f1,t_impulsive_precision,t_impulsive_recall,t_impulsive_f1
100min800Norm_Noise,vleo\100min-800\100min800Norm_Noise.log,Decision Trees,37.29,37.29,1,1,1.2873,0,0.43979835510253906,0.7541,False,0,0.4206,0.375,0.3965,0.4375,0.5833,0.5,0.3543,0.375,0.3644,0.2209,0.1583,0.1845,0.3583,0.3729,0.3613,0.3583,0.3729,0.3613,45.0,13.0,43.0,6.0,70.0,15.0,43.0,13.0,45.0,13.0,64.0,24.0
100min800Norm_Noise,vleo\100min-800\100min800Norm_Noise.log,LSTM,18.33,27.5,7,14,1.3868,18004,0.137359619140625,28.3463,True,0,0.0833,0.0667,0.0741,0.2083,0.6667,0.3175,0.0,0.0,0.0,0.0,0.0,0.0,0.0729,0.1833,0.0979,0.0729,0.1833,0.0979,8.0,112.0,0.0,40.0,80.0,0.0,8.0,112.0,0.0,40.0,80.0,0.0
100min800Norm_Noise,vleo\100min-800\100min800Norm_Noise.log,Mamba,25.62,26.46,20,101,1.3861,6106,0.0465850830078125,160.3772,False,0,0.2439,0.3333,0.2817,0.2577,0.2083,0.2304,0.274,0.1667,0.2073,0.2603,0.3167,0.2857,0.259,0.2562,0.2513,0.259,0.2562,0.2513,40.0,24.0,20.0,42.0,25.0,17.0,40.0,24.0,20.0,42.0,24.0,16.0
100min800OE_Norm_Noise,vleo\100min-800\100min800OE_Norm_Noise.log,Decision Trees,78.54,78.54,1,1,0.4916,0,0.4293708801269531,0.6825,False,0,0.584,0.6083,0.5959,0.9754,0.9917,0.9835,0.5913,0.5667,0.5787,0.9915,0.975,0.9832,0.7856,0.7854,0.7853,0.7856,0.7854,0.7853,73.0,0.0,47.0,0.0,119.0,0.0,52.0,0.0,68.0,0.0,3.0,0.0
100min800OE_Norm_Noise,vleo\100min-800\100min800OE_Norm_Noise.log,LSTM,40.21,41.25,22,25,1.2062,18004,0.137359619140625,53.9793,True,0,0.0,0.0,0.0,0.3576,0.4917,0.414,0.3089,0.6667,0.4222,0.9643,0.45,0.6136,0.4077,0.4021,0.3625,0.4077,0.4021,0.3625,0.0,39.0,80.0,0.0,59.0,60.0,0.0,40.0,80.0,0.0,27.0,39.0
100min800OE_Norm_Noise,vleo\100min-800\100min800OE_Norm_Noise.log,Mamba,72.92,76.04,65,84,0.4125,6106,0.0465850830078125,136.1574,True,0,0.4824,0.3417,0.4,1.0,0.9833,0.9916,0.4834,0.6083,0.5387,0.9365,0.9833,0.9593,0.7256,0.7292,0.7224,0.7256,0.7292,0.7224,41.0,0.0,76.0,0.0,118.0,0.0,44.0,0.0,73.0,0.0,0.0,2.0
10min800Norm_Noise,vleo\10min-800\10min800Norm_Noise.log,Decision Trees,24.38,24.38,1,1,1.3896,0,0.4083395004272461,0.2677,False,0,0.2604,0.2083,0.2315,0.2255,0.1917,0.2072,0.243,0.2167,0.2291,0.2457,0.3583,0.2915,0.2437,0.2438,0.2398,0.2437,0.2437,0.2398,25.0,25.0,27.0,24.0,23.0,27.0,25.0,26.0,26.0,22.0,28.0,27.0
10min800Norm_Noise,vleo\10min-800\10min800Norm_Noise.log,LSTM,21.67,25.0,1,15,1.3864,18004,0.137359619140625,10.5493,True,0,0.0,0.0,0.0,0.2321,0.8667,0.3662,0.0,0.0,0.0,0.0,0.0,0.0,0.058,0.2167,0.0915,0.058,0.2167,0.0915,0.0,120.0,0.0,16.0,104.0,0.0,0.0,120.0,0.0,16.0,104.0,0.0
10min800Norm_Noise,vleo\10min-800\10min800Norm_Noise.log,Mamba,24.79,25.21,23,101,1.3863,6106,0.0465850830078125,93.8622,False,0,0.2488,0.45,0.3205,0.25,0.2,0.2222,0.25,0.175,0.2059,0.241,0.1667,0.197,0.2475,0.2479,0.2364,0.2475,0.2479,0.2364,54.0,24.0,21.0,54.0,24.0,21.0,54.0,24.0,21.0,55.0,24.0,21.0
10min800OE_Norm_Noise,vleo\10min-800\10min800OE_Norm_Noise.log,Decision Trees,64.79,64.79,1,1,0.7618,0,0.3947477340698242,0.2268,False,0,0.4098,0.4167,0.4132,0.7377,0.75,0.7438,0.4397,0.425,0.4322,1.0,1.0,1.0,0.6468,0.6479,0.6473,0.6468,0.6479,0.6473,50.0,18.0,52.0,17.0,90.0,13.0,55.0,14.0,51.0,0.0,0.0,0.0
10min800OE_Norm_Noise,vleo\10min-800\10min800OE_Norm_Noise.log,LSTM,52.29,55.62,28,40,0.9597,18004,0.137359619140625,28.7856,True,0,0.4009,0.7583,0.5245,0.4954,0.45,0.4716,0.3333,0.1,0.1538,0.8704,0.7833,0.8246,0.525,0.5229,0.4936,0.525,0.5229,0.4936,91.0,16.0,12.0,42.0,54.0,12.0,94.0,13.0,12.0,0.0,26.0,0.0
10min800OE_Norm_Noise,vleo\10min-800\10min800OE_Norm_Noise.log,Mamba,59.79,59.79,48,49,0.8596,6106,0.0465850830078125,45.8136,True,0,0.4231,0.55,0.4783,0.5473,0.675,0.6045,0.4211,0.2,0.2712,0.9748,0.9667,0.9707,0.5916,0.5979,0.5812,0.5916,0.5979,0.5812,66.0,33.0,21.0,24.0,81.0,12.0,66.0,30.0,24.0,0.0,4.0,0.0
30min800Norm_Noise,vleo\30min-800\30min800Norm_Noise.log,Decision Trees,26.88,26.88,1,1,1.3842,0,0.41722869873046875,0.3228,False,0,0.2754,0.1583,0.2011,0.2541,0.2583,0.2562,0.265,0.2583,0.2616,0.2791,0.4,0.3288,0.2684,0.2688,0.2619,0.2684,0.2687,0.2619,19.0,30.0,31.0,16.0,31.0,29.0,19.0,30.0,31.0,15.0,31.0,26.0
30min800Norm_Noise,vleo\30min-800\30min800Norm_Noise.log,LSTM,25.0,31.67,6,18,1.3863,18004,0.137359619140625,15.3979,True,0,0.25,0.8667,0.3881,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.1333,0.1739,0.125,0.25,0.1405,0.125,0.25,0.1405,104.0,0.0,0.0,104.0,0.0,0.0,104.0,0.0,0.0,104.0,0.0,0.0
30min800Norm_Noise,vleo\30min-800\30min800Norm_Noise.log,Mamba,25.0,25.62,39,101,1.3863,6106,0.0465850830078125,102.5138,False,0,0.2544,0.4833,0.3333,0.25,0.1583,0.1939,0.2404,0.2083,0.2232,0.25,0.15,0.1875,0.2487,0.25,0.2345,0.2487,0.25,0.2345,58.0,19.0,25.0,56.0,19.0,27.0,58.0,19.0,25.0,56.0,19.0,27.0
30min800OE_Norm_Noise,vleo\30min-800\30min800OE_Norm_Noise.log,Decision Trees,72.29,72.29,1,1,0.5615,0,0.40241241455078125,0.3156,False,0,0.4914,0.475,0.4831,0.9048,0.95,0.9268,0.4831,0.475,0.479,0.9917,0.9917,0.9917,0.7177,0.7229,0.7201,0.7177,0.7229,0.7201,57.0,7.0,56.0,0.0,114.0,5.0,59.0,4.0,57.0,0.0,1.0,0.0
30min800OE_Norm_Noise,vleo\30min-800\30min800OE_Norm_Noise.log,LSTM,55.21,62.29,33,44,0.9594,18004,0.137359619140625,43.8799,True,0,0.4667,0.7,0.56,0.6893,0.5917,0.6368,0.0,0.0,0.0,0.5584,0.9167,0.694,0.4286,0.5521,0.4727,0.4286,0.5521,0.4727,84.0,10.0,0.0,14.0,71.0,0.0,82.0,12.0,0.0,0.0,10.0,0.0
30min800OE_Norm_Noise,vleo\30min-800\30min800OE_Norm_Noise.log,Mamba,68.96,70.42,70,78,0.6198,6106,0.0465850830078125,75.6148,True,0,0.486,0.4333,0.4581,0.8455,0.8667,0.856,0.4697,0.5167,0.4921,0.9576,0.9417,0.9496,0.6897,0.6896,0.6889,0.6897,0.6896,0.6889,52.0,7.0,60.0,4.0,104.0,9.0,50.0,7.0,62.0,1.0,5.0,1.0
